termTitle,part-of-language,partOfDefinition
iti boshulli,(n),"wood chips, fragments of wood"
iti b?sha,(n),"board, lumber, a sawed board"
iti ch?naha,(n),wagon
iti ch?n?lli,(n),wagon
iti fab?ssa,(n),"a pole, fence post, slender tree"
iti hakshup,(n),tree bark
iti hishi,(n),"leaf (of a tree), tree leaves"
iti kafi,(n),sassafras tree
iti kolofa,(n),"a stump, a stub"
iti k?bohli,(n),"small, broken pieces of wood, kindling"
iti lumbo,(n),a log
iti naksish,(n),"tree limb, bough, knot"
iti okchi,(n),sap
iti ollulhti,(n),firewood
iti pakanli,(n),a flowering tree
iti pat?lhpo,(n),"a wooden platform: porch, bridge, floor, etc."
iti tanampo,(n),bow (for shooting arrows)
iti t?bi,(n),"wooden staff, wooden cane"
iti t?pa,(n),"a stick of wood, a club"
iti ?ni,(n),black gum
iti ?pi,(n),tree trunk
itih,(n),"mouth, language (archaic word used in the Bible)"
itikba,(n),in front of
itikba takali,(n),"something hanging in front: an apron, bib, etc."
ittabana,(v),"to put (logs, etc.) together (as in a log house)"
ittachapa,(n),"a match, mate (to a sock, etc.)"
ittachapoli,(v),"to pair (two oxen, etc.) together, mate, match"
ittachoa,(v),to argue
ittachoa,(n),"a dispute, quarrel"
ittafama,(v),"to meet with, meet together"
ittaiyukoma,(v),"to be mixed up, messed up (of a room, etc.), cluttered, disorganized"
ittakash?bli,(v),"to divide (something) in two parts, halve, separate into two parts"
ittakash?pa,(v),"to be divided in two, halved, separated"
ittakash?pa,(adj),"divided in two, halved, separated"
ittakobba,(n),"stomach, belly"
ittakobba hottupa,(n),stomach-ache
ittak?shkoa,(v),"to be divided, separated"
ittak?shkoli,(v),to divide into portions
ittanoho?wa,(v),(two or more) are walking
ittanowa,(v),"(two or more) to walk together, travel together"
ittapahl?lli,(v),to split (one) in two
ittap?hli,(v),"to split (several things, like wood) in two"
ittasanali,(v),to face each other
ittasita,(adj),tied together
ittasiteli,(v),"to tie (ribbons, etc.) together"
ittatakchi,(v),"to tie (shoelaces, etc.) together"
ittatiwwichi,(v),"to tear apart (an old house), rummage through (a house, etc.), disassemble"
ittatoba,(v),"to trade, swap, exchange, barter"
ittatuklo,(adj),"two together, both"
ittat?llakchi,(v),to be tied together
itti? balili,(v),to run a race
itti? falama,(v),"to return to each other in a relationship, get back together"
itti? fil?mmi,(v),"to separate from each other, to part"
itti? fil?mmichi,(v),to separate (objects or people) from each other
itti? hullo,(v),to love one another
itti? kanomi,(n),"relatives, relations, kin, cousins"
itti? k?nia,(v),"to separate (of a married couple), leave each other"
itti? luma?ka,(v),"to commit adultery, fornicate (term used in the Bible), be hidden together"
itti? nan aiya,(v),"to be at peace with one another (in the Bible), reconcile"
itti? pakna,(v),to compete
itti? pakna,(n),"a competition, race"
itti? sanali,(v),"to oppose each other, be against each other"
itti? sanali,(n),"enemy, opponent"
itti? takla,(pp),between
itti? tasaha,(v),"to whoop to each other, yell, shout to one another"
ittiachi,(v),(two) to go
ittiba,,"with each other, together"
ittiba nowa,(v),"(two) to travel together (in a car, etc.), walk together"
ittiba nusi,(v),(two) to sleep together
ittibai ach?ffa,(v),to be in agreement with each other
ittibai ach?ffa,(n),"agreement, consensus, accord"
ittibani,(v),"to add (things) together, mix (ingredients, people, etc.) together"
ittibapishi,(n),brother or sister (in Christ)
ittibi,(v),"to fight, combat, skirmish"
ittibi,(n),a fighter
ittib?lhto,(v),"to be mixed, poured in"
ittichabli,(v),"to mate, pair (two things)"
ittichabli,(n),"a mate, a pair"
ittichak?li,(v),"to put together, piece together, join together, connect, attach"
ittichapa,(v),"to oppose, contradict, argue"
ittichapa,(v),"to match, go at the side of"
ittifokki,(v),"to insert (one) into another, put inside another (as when putting a pen and cap together)"
ittifokkichi,(v),to put (one) inside another
ittihal?lli,(v),"to get married, be married"
ittihal?lli,(n),"marriage, wedding"
ittihal?llichi,(v),to perform a wedding
ittihokli,(v),"to grasp, take hold of each other"
ittihoklichi,(v),"to hook (chain links, etc.) together, crochet, string (beads)"
ittiholba,(v),"to resemble each other, be alike"
itti?kana,(v),"to be friendly to each other, show kindness"
itti?kana,(n),"mutual friends, friendship"
ittilaui,(v),"to be the same, equal"
ittilaui,(adj),"equal, even (of scores), the same (age, height, etc.)"
ittilauwichi,(v),"to make just the same, make level or equal"
ittillaui,(v),to be exactly the same
ittillaui,(adj),exactly the same
ittillaui hosh ia,(v),"(one) to go exactly the same, be parallel (to another)"
ittim,,"a marker appearing before a verb and meaning ?to each other’, ?for each other’, or ?with each other’"
ittim anumpuli,(v),"to speak to one other, be in discussion, converse"
ittimaiya,(v),"to compete, to race"
ittimmi,(pro),"each other’s, belonging to each other, a match for each other (e.g, a pot and a lid or a bolt and a nut)"
ittimok?fa,(v),"to attack each other verbally, get into a heated debate"
ittiompitama,(v),"to be crossed (of roads, sticks, etc.)"
ittiompitama,(adj),"crossed (of sticks, arms, etc.)"
ittiompit?mmi,(v),to pass each other (in traffic)
ittipokofa,(v),"to run into each other, collide"
ittishap?lichi,(v),"to harness (two horses, mules, etc.) together"
ittishi,(v),to wrestle
ittisholi,(v),to hug each other
ittisopi,(n),cheek
ittisopi foni,(n),cheek bone
ittitakla,(pp),in between
ittita?kla,,"in the meanwhile, while (an action is happening), during"
itti?lbi,(n),lip
ittola!,(v),lie down! (said to one)
ittonachi,(v),"(two) to get there, arrive"
ittonla,(v),"(one) to be lying (of a person, stick, etc.)"
ittonla na ia,(v),to leave (one) lying there
ittula,(v),to fall
ittuntalaha,(v),to be stacked
ittuntalaha,(adj),"stacked (of dishes, etc.)"
ittuntalohli,(v),"to set, place (dishes, etc.) on each other, stack (two or more)"
itt?lachi,(v),(two) to arrive here
itt?lhk?chi,(v),"to do patchwork (on a quilt), do piecing"
itt?lhk?ta,(v),patched together
itt?naha,(v),"to meet, get together, gather together"
itt?naha,(n),"a meeting, gathering"
itt?shiha,(v),"to be tangled (of string, hair, etc.)"
itt?shiha,(adj),"tangled, ratty (of the hair)"
itukchi,(n),"spit, saliva"
itukshila,(v),to be thirsty
itumbi,(n),"coffin, casket, box, chest"
itumbushi,(n),small box
it?kha,(n),mouth
it?kha anu?ka,(n),inside of the mouth
it?kha shua,(n),bad breath
i?lli,(v),to cost
i?lli,(n),"price, value, worth (of something), its cost"
i?t k?nia,(v),(one) to go off (somewhere)
iyyakchush,(n),toenail
iyyasha,(n),kettle (a cast-iron kettle with legs used for cooking over a fire)
iyyi,(n),"foot, paw, hoof"
iyyi afabi,(n),the left foot
iyyi holba,(n),an artificial leg (new word)
iyyi hulhki,(n),calf (of the leg)
iyyi i? k?laha,(n),knee
iyyi im oksak,(n),ankle bone
iyyi kotoba,(n),heel
iyyi pahta,(n),sole of the foot
iyyishki,(n),big toe
iyyop,(n),son-in-law
iyyubi,(n),thigh
iyyushi,(n),toe
iyy?buski,(n),"sock, stocking"
iyy?pi,(n),"leg, leg below the knee"
,,
kaa,(n),"car, automobile (from the English)"
kaa aiiska,(n),place to fix a car: repair shop
kaa apoksia,(n),"car repairman, mechanic"
kachombi,(n),"cancer, tumor (older word)"
kafi,(n),coffee
kafi ahonni,(n),coffee pot
ka?ha,(v),(two) to be lying
kaha!,(v),lie down! (said to two)
kahlama,(v),"to smell (of urine or sweat), be rancid, smell sour"
kahli,(v),to bet
kahma?ya,(v),(three or more) to be lying
kahpoli,(v),"to lay (two) down, put away, put out"
kaiya,(v),to be full (after eating)
kalampi,(adj),frozen
kalampi,(v),"to freeze (of water, etc.)"
kalampichi,(v),"to freeze (water, food, etc.)"
kal?ffi,(v),"to claw, scratch once"
kamel,(n),camel
kampila,(v),"to throw (two or more) away, get rid of (two or more)"
kanchak,(n),"barn, shed for poultry"
kanchi,(v),"to leave (a spouse, a job), give up on"
kanimampo,(adj),which (of two)
kanimampo kia,(adj),either
kanimi kash,(Indefinite),one day (in the past)
kanimi kia,,"even though (something is happening), although"
kanimi k?t,(Indefinite),"some, some of them"
kanimikma?,(Indefinite),"some (day, time, etc.)"
kanimmash inlikma?,(adv),"some day, at some point, sometime (possibly from )"
kaniohmi,(v),"to happen, do somehow, go on, be doing (something)"
kanohmi,(Indefinite),"some, several (days, dogs, etc.)"
kanti,(n),county (from the English)
kapali,(v),"to hold or put (tobacco, dentures, etc.) in the mouth"
kapanli,(v),to have (something) in the mouth
kapucha,(n),stickball sticks
kap?ssa,(adj),"cold (of weather, water, etc.)"
kap?ssa,(v),"to be cold (of weather, water, one’s hands, etc.)"
kap?ss?chi,(v),"to cool (butter, etc.)"
kashapa,(v),"to be separated, divided (of cattle, etc.)"
kashapa,(n),"a portion, share"
kashochi,(v),to wipe
kashofa,(v),"to be clean, clear"
kashofa,(adj),"clean, clear, tidy, pardoned"
kashuffi,(v),"to clean (something), clear (your name from a charge), cleanse (the spirit), erase, delete, purge"
kash?bli,(v),"to divide (money, food, land, etc.), separate (cattle), take out portions"
kasoli,(v),to thump (a watermelon) with the finger and thumb
katanli,(v),"to be tight (of a garment, a parking space, etc.)"
katanlichi,(v),to
katanlichit hokli,(v),"to hold tightly, grip"
katimampo,(Interrogative),which of the two
katimi,(Interrogative),"what is happening, what is going on"
katimma,(Interrogative),where
katimma k?ko?,(Interrogative),"which one, which"
katiohmi,(Interrogative),"to do (used when asking a question), do somehow, happen, how is it, what"
katiohmi ho?,(Interrogative),why
katiohmi hosh,(Interrogative),how? in what manner?
katiohmi kash,(Interrogative),"when was it, when (in the past)"
katiohmihchi,(Interrogative),how to do (something)
katiohmikmako?,(Interrogative),"when will it be that, when in the future"
katohmi,(Interrogative),"how many, how much"
katomma,(Interrogative),where
katos,(n),cat
katosushi,(n),kitten
kawasha,(v),to be short (in stature)
kawasha,(adj),short in stature (not tall)
kehi!,(interj),aha!
keyu,(interj),no
kianti,(n),candy (derived from English)
kichanli,(v),"to be chapped, cracked (of the lips, hands, etc.)"
kiffa?ha,(v),"to moan (of someone sick, etc.), groan, whine"
kihti,(n),"mortar, wooden bowl for pounding corn"
kihtushi,(n),"pestle, stick for pounding corn"
kil,,first person plural negative marker appearing before a verb: ‘we (do not)’
kiliha,(v),"to growl, purr, roar"
kili?ha,(v),"to be growling (of a dog, bear, lion, etc.)"
kinafa,(v),"to fall down, topple, be torn down, demolished (of a house, etc.)"
kinnint iksho,(v),"to be silent, completely quiet"
kinta,(n),beaver
kin?ffi,(v),"to tear down (a house, etc.), demolish, fell (a tree), topple"
ki?sha,,"not yet, before"
kitik! achi,(v),"to click (of a stapler or a door locking, etc.), to make a thud (like a cat landing on the ground)"
kitik?chi,(v),"to thump repeatedly, beat several times (like a heart), make a clicking noise (like a clock or someone’s high heels)"
kitik?hanchi,(v),to make a clicking noise continuously (as of a train or stepping)
kiyo,,not
kiyukm?t,,"if not, or, otherwise"
koa,(v),"(one) to be broken (of one egg, windshield, glass, skull, etc.), smashed, cracked"
koa,(adj),"cracked, smashed, broken, fractured"
kobafa,(v),"to be broken (of a stick, heel of a shoe, something rigid)"
kobahlichi,(v),"to break (a stick, etc.) into many pieces"
kobli,(v),"to bite more than once, gnaw on"
kobohli,(n),"chips, broken pieces of stone, wood, etc."
kobok! achi,(v),to make a sound like a thud (like a heavy object dropping to the ground)
kobokshi,(v),"to be hunched over, humpbacked"
kobokshi,(adj),"humpbacked, hunchbacked"
kobok?chi,(v),to make a continuous knocking sound
kob?ffi,(v),"to break (a stick, a bone, something rigid), destroy, break (a promise, the law), abolish, annul"
kofi,(n),guinea
kofi nukshopa,(n),"quail, bobwhite"
kofoh?chi,(v),"to roar (of the wind, a tornado, etc.)"
kofota,(v),to be steaming
kofota,(n),"steam, vapor"
koh!,(interj),an expression of dissatisfaction or surprise: my! my goodness!
kohcha,(v),to exit quickly
kohko!,(interj),"oh, dear!"
koi,(n),mile
koi,(n),lion
koi basoa,(n),tiger
koi chikchiki,(n),leopard
koi lusa,(n),black panther
kokoa,(v),"to crack, break (of two or more eggs, etc.)"
kokuli,(v),"to break (two or more glass or ceramic dishes, etc.), shatter, smash, crack (corn)"
kokulit boshullichi,(v),"to break (two or more dishes, glasses, windshields, crackers, etc.) into small pieces, smash, crumble, fracture"
kolak,(n),"a gulp, the sound of swallowing"
kolak! achi,(v),"to gulp, make the sound of swallowing"
kolak?chi,(v),"to make a gulping sound more than once, drink down (in more than one swallow)"
koli,(v),"to break (one egg, drinking glass, windshield, etc.), smash"
kolofa,(adj),"severed, broken off (of a stick, etc.), cut off (of a dog’s tail)"
koluffi,(v),"to break (a piece of bread, etc.) off, cut off, disconnect (someone’s eletricity), interrupt (a conversation), notch, mark off"
kolukbi,(n),"a hollow, ditch, gully"
kommichi,(v),"to ache (of a body part), be painful"
komok! achi,(v),"to make a hollow, heavy sound (as of a drum or hollow log)"
komonta,(v),"to be uneasy, timid, wary, leery, anxious, hesitant, fear, dread"
koni,(n),skunk
kopohunli,(v),to bite periodically (like a dog that misbehaves)
kopoli,(v),"to bite once, pinch, grab (with a tong)"
koshiba,(n),"pokeweed, poke sallet"
kosoma,(v),"to stink, smell bad, have a foul odor or stench"
kosoma,(adj),"smelly, having a foul odor or stench"
kostini,(v),"to be wise, sensible"
kostini,(adj),"wise, sensible"
kostinichi,(v),"to train (someone), break (a horse), tame"
kota,(adj),"weakened, sickly"
kotoba,(n),"jar, bottle"
kotoma,(v),
kotoma,(adj),"smelly, having a foul odor or stench"
ko?wi,(n),"woods, forest"
Ko?wi Anu?ka Asha,(n),"the ones who live in the forest, Little People in Choctaw myths"
koyofa,(adj),halved
koyoffi,(v),"to halve, (cut in) half"
kucha,(v),"to go out, come out"
kucha,(n),outside
kucha isht ?lhpisa,(n),weather thermometer
kucha okpulo,(n),"bad weather, storm"
kuchawehli,(v),"to take out, withdraw"
kuchi,(v),"to push out, take out, pull out, stick out (the tongue, etc.), put (something) out, get (groceries) out, fire (someone), expel (a student, etc.)"
kula,(v),to be dug out
kula,(adj),dug out
kulli,(v),to dig
kunta,(v),to whistle with the lips
kunta,(n),a whistle
k?lih,(n),spring (source of underground water)
k?lih hofobi,(n),a deep well or spring
k?lli,(v),"to scratch (one’s own ears, back, etc.), claw"
k?lli,(n),a scratch
k?llichi,(v),"to scratch (a post, the ground, etc., as of a cat), scratch oneself (as of a dog)"
k?llo,(v),"to be hard, solid, stiff, rigid"
k?llo,(adj),"hard, solid, stiff, rigid"
k?llot pisa,(v),"to stare at, glare at, give (someone) a hard look"
k?mak! achi,(v),"to slam, make a slamming noise (like a door being shut)"
k?mak?chi,(v),"to knock, rap, slam repeatedly (as of a door in the wind), ring (as of a bell)"
k?mak?hanchi,(v),"to keep slamming (several times for a long period, like a door)"
k?na,(Indefinite),"someone, somebody, anyone (with negative)"
k?na keyu,(Indefinite),"no one, nobody"
k?na kia,(Indefinite),"anyone, someone, no one (with a negative)"
k?na moma,,"everybody, everyone"
k?nali,(v),to move around (like a baby in the womb)
k?nalichi,(v),"to make (two or more things, etc.) move around"
k?ni pila,(v),"to throw (trash, etc.) away"
k?nia,(v),"(one) to disappear, go missing, be lost"
k?nnia,(v),"to finally lose (intensive form), lose (despite trying not to)"
k?n?hanli,(v),to move around continuously (as of a baby in the womb)
k?n?lli,(v),"to move oneself once (from one place to another), move (of an object), move aside"
k?n?llichi,(v),"to move (a glass, house, etc.)"
k?n?llichi,(n),"a mover (of cars, snow, houses, dirt, etc.)"
k?shkoa,(v),"to be divided (of money, etc.)"
k?shkoa,(n),a portion
k?shkoli,(v),"to divide (money, parts of an animal), pass out, allot, share"
k?shshofa,(v),"to be very clean, clear"
k?shti,(n),flea
k?ta,(Interrogative),who
k?ti,(n),thorn
k?ti lakna,(n),"Osage orange, bois d’arc"
,,
lahba,(v),"to be lukewarm, warm (applied to liquids), tepid"
lahba,(adj),"lukewarm, warm (applied to liquids), tepid"
lakchi,(n),grounds
lakcho,(n),earthworm
lakna,(v),to be yellow
lakna,(adj),yellow (but also including rust shades)
lakna h?ta,(adj),orange (in color)
laksha,(v),"to sweat, perspire"
laksha,(n),"sweat, perspiration"
la?shpa,(adj),very hot
lawa,(v),"to be many, much"
lawa,(adj),"many, much, a lot of"
la?wa,(v),"to be very many, a lot, numerous, plentiful"
la?wa,(adj),"very many, a great deal, a lot"
la?wa hosh,(adv),"plentifully, numerously, abundantly"
lawachi,(v),"to multiply, increase"
laya,(n),lawyer (from the English)
li,,a marker meaning ?I’ appearing after an active verb
libbi,(v),"to flame, flame up, burn"
libbi,(n),"a flame, blaze"
libbichi,(v),to light (a fire or lamp)
libesha,(v),"to be warm (of weather, water, etc.)"
libesha,(adj),"warm (of weather, water, etc.)"
libik! achi,(v),"to ignite (as of a cigarette lighter or matches), suddenly start up (of an engine or heater)"
libik?chi,(v),to flash repeatedly (as of Christmas lights)
libishli,(v),"to warm (coffee, etc.)"
lipik! achi,(v),to make the sound of sudden movement (as of an animal taking off)
litafa,(v),"to break, snap, come apart (of something twisted like rope, thread, cable, etc.)"
liteha,(v),"to be dirty (of a child, water, etc.), soiled, stained, polluted, etc."
liteha,(adj),"dirty, soiled, stained, impure, defiled, polluted, sullied, sordid"
litehlichi,(v),"to make dirty, soil"
litiffi,(v),"to pluck out (one hair, etc.)"
litikfo,(v),"to be greasy, oily"
litoa,(v),"to be torn up, ragged (of clothes, shoes, etc.), tattered, mangled (of a dead deer, etc.), mashed, bruised"
litoa,(n),"a bruise, contusion"
litoli,(v),"to pound, pulverize, mash (meat)"
lit?ffi,(v),"to break (something twisted like a rope, cord, etc.), sever"
lobbi,(v),"to uproot, pluck out (wild onions, weeds, etc.), pull out (shrubs, etc.), pull up"
lob?ffi,(v),"to pull (one tooth, plant, something rooted), pluck, pull up by the roots"
lohma,(v),"to be soft (of a sound), quiet"
lohmachi,(v),to quiet (a baby)
lohmi,(v),to hide (something)
Lohmit Anumpuli,(n),a Code Talker
lohm?t anumpuli,(v),"to speak softly, whisper"
loma,(v),"to be soft, gentle (of wind, etc.), quiet"
lua,(v),"to burn (of a fire, stick, etc.), ignite"
luak,(n),fire
luak aioti,(n),heater
luak aiulhti,(n),"hearth, fireplace"
luak ashobohli,(n),chimney
luak chito abillia,(n),"eternal fire, hell"
luak isht ikbi,(n),"something to start a fire with: matches, kindling, etc."
luak isht tobachi,(n),"what you start a fire with: matches, etc."
luak libbi,(n),"flame, fire"
luak tobachi,(v),to start a fire
lufa,(v),"to be peeled (of a potato, etc.), stripped, shelled, husked"
lufa,(adj),"peeled, stripped, shelled, husked"
luffi,(v),"to peel (an apple, potato, orange, etc.), pare, strip, shell, husk"
lukchuk,(n),"mud, slush"
lukfi,(n),"soil, dirt, clay"
lukfi h?ta,(n),pale-colored clay
lukfi kotoba,(n),"crockery jar, pottery jar"
lukfi nuna,(n),brick
lukoli,(adj),"grouped, clustered, gathered"
luksi,(n),turtle (any terrapin)
luksi hakshup,(n),turtle shell
luksi honni okchi,(n),turtle soup
luksi isht ashana,(n),padlock
luksi oka aiasha,(n),water turtle
luma,(v),to hide
lumbo,(adj),"round (like a ball), spherical"
lupi,(n),brain
lusa,(v),to be black
lusa,(adj),black
lusakbi,(v),"to be brown, dark brown"
lusakbi,(adj),"brown, dark (like a leaf, a horse)"
lushoma,(v),"to be finished, completed"
lushoma hosh,(adv),completely
lushummi,(v),"to finish off, complete (a drink, etc. so that nothing is left), achieve"
lu?ssa,(n),"wet land, bottom land, swamp"
lu?t illi,(v),to burn to death
l?bli,(v),"to stop up, plug (the nose, ear, a pipe, etc.)"
l?cha,(v),"to be wet (of a towel, etc.), moist, damp"
l?chali,(v),"to get (a towel, etc.) wet, moist, damp"
l?chalichi,(v),"to get (a towel, etc.) wet, moisten, dampen, wet (something)"
l?kohli,(v),"to make notches or holes (in leather, etc.)"
l?kuffi,(v),"to make a notch or hole (in leather, etc.)"
l?pa,(adj),"blocked, obstructed (of the eyes, ears, etc.)"
l?palichi,(v),to stick (something) on top of (something)
l?palika,(n),"the side of (a riverbank, road, etc.)"
l?panli,(v),"to be positioned on (as of a patch on a shirt, etc.)"
l?pish,(n),"horns, antlers"
l?pushki,(v),"to be soft, pliant"
l?pushki,(adj),soft
l?pushkichi,(v),"to soften, make soft or pliable"
l?sachi,(v),"to slap (the face, etc.)"
l?sak! achi,(v),to make the sound of a slap
l?sak?chi,(v),"to flap, slap several times (like a flag)"
l?shpa,(v),"to be hot (of weather, water, etc.)"
l?shpa,(adj),"hot (of weather, water, etc.)"
l?t?ssa,(v),"to be flat, deflated, compressed (of a tire, hair, balloon, etc.)"
l?t?ssa,(adj),flat
l?t?ss?chi,(v),"to flatten, deflate, compress"
,,
ma,,"the, that, those, there"
ma?,,a marker appearing after a verb and meaning ?when (something happened)’
ma?!,(interj),look out!
Mach,(n),March
mahaiya,(adj),having a curved shape like a bowl
mahaiy?t a?ya,(v),to go forward
maha?ya,(v),to continue (to do something)
mahli,(v),"to blow (of the wind), be windy"
mahli,(adj),windy
mahli chito,(n),a big wind
maiha,(n),"a tin pan used for cleaning dishes, etc. (older word)"
maiya,(v),to go forward
mak amo?,,"that one, those (that we were talking about)"
mak ash inli,,the same as that one (that I was talking about) (from )
mak atukma?,,since that (time)
mak fehna,(adv),right there
mak fehna ma?,(adv),"right then, just then"
mak inli,(adj),"the same (house, etc.) (from )"
mak yoba atuko?,,"for that reason, as a result of that, because of that"
mak yoba fehna ho?,,at that very moment
maka,(v),"to say, make a sound"
makachi,(v),to say that (from )
makahanchi,(v),to keep saying
masheli,(v),"to clear (of the sky), pass away (of clouds)"
ma?ya,(v),"(two or more) to exist, be there"
Me,(n),May
micha,(conj),and
miha,(v),to mean
mihacha?,(v),"an expression: it really is, isn’t it? (from )"
mihachi,(v),"to put (someone) down, talk negatively about (someone), tell (someone) off, scold, upbraid, reprimand"
mihchi,(v),to do (something) (from )
mihlochi,(v),to
mihma,(conj),"and then (in the past), and so, when it was so (from )"
mihmak inli,,"at that very moment, immediately, as soon as, at the same time or place (from )"
miho??,(interj),is that so? is that right? (from )
mi?ko,(n),"chief, king, president, governor, etc."
mi?ko apel?chi,(n),assistant chief
mi?ko iaka?ya,(n),"vice president, assistant to the chief"
minti,(v),to be coming
mi?sa,(n),a scar
misha,(n),the second day before or after (a reference point)
misha,,beyond
misha ashachi,(v),to put (three or more) over there
misha i? t?nn?p,(n),the opposite side
misha ia,(v),"(one) to go away, go in the opposite direction"
misha kash,,"the day before yesterday, two days ago"
misha ma?,(n),over there
misha pila,,"that way, in that direction, over there"
misha pilla,,way over there
mishakma?,,the day after tomorrow
mishema,(v),"to be a little farther away, beyond (from ) (This word has degrees: mishema, mishimma, mishihma much further away)"
mishema!,(v),scoot over!
misho?ha,(v),"to scrub, rub"
mitafa,(v),to bleed from a tear or rupture
mitefa,(v),"to open up (of a wound or seam), burst open"
miti!,(v),come! come here!
mitiffi,(v),"to rip (the seam of a garment), unloose (buttons, a zipper, etc.)"
mit?ffi,(v),"to rupture (so as to bleed), tear (the skin), break (the skin) open"
mokofa,(v),"to come loose (of a chain, a knot, etc.), slip out, come out"
mokuffi,(v),"to release (a prisoner, water from a dam, etc.), let (a dog) loose, let (someone) go, unfasten (a belt, etc.)"
moma,(v),"to still be (something), still be (alive, etc.), still be (doing something)"
moma,(adj),"all, whole, undivided"
mominchit,(adv),"completely, affecting all, going to all"
moshi,(n),uncle
moshli,(v),to wink once
moshmoli,(v),to wink several times
mu?fa,(v),"to be rubbed off (of hair, etc.), scraped (of skin)"
mu?ffi,(v),"to rub off (hair, etc.), brush off (lint, etc.), peel off, scrape"
mushli,(v),"to flash, blink (of a light)"
m?hli,(interj),"an expression: truly, indeed, really, undoubtedly (from )"
m?hl?lli,(v),"to surprise, frighten, scare (someone), startle"
m?hl?llichi,(v),to do something to scare (someone)
m?lahta,(v),to flash (of lightning)
m?lahta,(n),lightning
m?lanta,(v),"to shine, reflect light, be shiny, bright, glossy"
m?lanta,(adj),shiny
M?nti,(n),Monday
M?skoki,(n),"Muscogee, Creek"
m?t,,a marker appearing after a verb and meaning ?when (something happened)’
,,
na,,a marker appearing after a verb to make a negative command (?do not!’ or ?let it not be!’)
na,,a marker appearing after a verb and used to connect two sentences that have different subjects (?and’)
na,(n),"a short form of  ?thing, something’"
na bal?lli,(n),"vine, creeper"
na bona,(n),
na b?lama,(n),"perfume, a fragrance, odor"
na champuli,(n),"sweets, dessert, candy"
na ch?n?lli,(n),a wheel
na fehna,(n),a miracle (in the Bible)
na fokka,(n),"clothes, clothing, garment"
na fokka atakali,(n),"place where one hangs a piece of clothing: a clothes hanger, etc."
na fokka atakohli,(n),"place where one hangs clothes: clothes hangers, etc."
na fokka chito,(n),coat
na fokka falaya,(n),"overcoat, long dress"
na fokka ikbi,(n),"dress maker, tailor, seamstress"
na fokka iskololi,(n),jacket
na fokka lumbo,(n),shirt
na fokka tikba takali,(n),apron (more specific term)
na fokka t?pa,(n),"shirt, blouse"
na hakshup,(n),"leather, pelt"
na hlilahli,(n),
na holb?ttoba,(n),"picture, photograph"
na holb?ttoba apisa,(n),television set (new word)
na holb?ttoba ikbi,(v),"to draw, make a picture"
na holhtina imponna,(n),"accountant, bookkeeper (new word)"
na holitompa,(n),"something sacred: the elements of Communion, etc."
na hollukchi,(n),something planted: a plant
na honni okchi,(n),soup (of any kind)
na hottupa,(n),"an ache, a pain"
na hu?kopa,(n),"thief, robber"
Na hullo,(n),"White person, Caucasian"
Na hullo anumpa,(n),the English language
Na hullo ohoyo himitta,(n),"a young White woman, young Caucasian woman"
na h?lbina,(n),"a gift, a present, a donation, a gratuity"
na kanchi,(n),"one who sells: merchant, sales clerk, cashier, etc."
na luma,(n),a secret
na nukshopa,(n),something wild: wild animal or plant
na pakanli,(n),"flower, blossom, bloom"
na pihna,(n),"seeds stored for planting, seed corn"
na shali,(n),"something to transport with: trailer, wagon, carrier, etc."
na sh?na,(n),yarn
na t?nna,(n),"cloth, fabric"
na t?p?ski,(n),"handkerchief, bandana, scarf"
na waya,(n),"something produced: fruit, nut, grain, tuber, crop, etc."
na waya okcha?ki,(n),"raw or fresh food that is harvested: greens, vegetables, produce"
na yimmi,(n),faith
na yukpa,(v),to be happy
na yukpa,(adj),happy
naha,(v),"to almost, nearly (do something)"
nakfi,(n),brother (of a woman)
nakfish,(n),"younger sibling of the same sex (younger brother of a man, younger sister of a woman)"
na?ki ittula,(v),to fall easily
na?ki nukoa,(v),to get mad easily
nakishwana,(n),catfish
nakni,(n),"a male (human, animal, etc.)"
naksi,(n),the side (of a body or house)
naksi foni,(n),"rib, spare rib"
naksika,(n),somewhere else
naksish,(n),"branch, limb, knot, joint"
nampoa,(n),beasts (older form)
nan achefa,(v),"to do the wash, do the laundry"
nan achunli,(n),"someone who sews things: seamstress, tailor"
nan ahonni,(n),"pots, pans"
nan aiachefa,(n),place where things are washed: washing machine
nan ai?lhto,(n),"container (for pencils, etc.), bin, box"
nan ai?lw?sha,(n),skillet
nan aiya,(n),
nan akanchi,(n),"place where things are sold: concession stand, craft booth, vendor or vending machines, etc."
nan ak?p?ss?li,(n),refrigerator (new word)
nan anoli,(n),"an announcer, newsman, reporter, publisher, witness"
nan apesa,(n),"one who makes laws: council member, legislator, congressman, senator, judge"
nan apesa ?hleha,(n),council
nan apoksia,(n),"one who fixes or prepares: a repairman, preparer (of food, etc.)"
nan ataloha,(n),"where things set: a shelf, etc."
nan awekichi,(n),scale (for weighing something)
nan i? hullo,(v),"to be greedy, stingy"
nan ik ikhano,(v),to be unconscious
nan ikha?na,(n),an educated or knowledgeable person
nan ikh?na,(n),"a learner, observer"
nan illi,(n),"something dead: a dead animal, carcass"
nan im atahli,(n),
nan inchu?wa,(n),"a mark, markings (on a poster, sign, etc.), a print (on fabric), emblem, tattoo, brand (on cattle), coloring"
nan ishko,(n),a drink
nan ishko champuli,(n),"sweetened beverage: soda pop, Kool-Aid, etc."
